주문일자,주문번호,매장코드,매장명,지역,채널,상품코드,카테고리,상품명,색상,사이즈,수량,정상가,할인율,판매단가,매출액,고객ID,성별,연령,회원등급,결제수단,주문상태
2025-01-01,O100001,S015,제주연동점,제주,오프라인,SKU00006,데님,청바지 와이드,WHITE,XL,1,99000,0,99000,99000,C69177,F,25,일반,간편결제,정상
2025-01-01,O100001,S015,제주연동점,제주,오프라인,SKU00019,데님,데님 셔츠,BEIGE,XS,1,89000,0,89000,89000,C69177,F,25,일반,간편결제,정상
2025-01-01,O100001,S015,제주연동점,제주,오프라인,SKU00019,데님,데님 셔츠,BEIGE,XL,1,89000,10,80000,80000,C69177,F,25,일반,간편결제,정상
2025-01-01,O100002,S018,김해아울렛,부산,아울렛,SKU00049,아우터,블레이저,WHITE,XS,1,259000,40,155000,155000,C84847,M,30,비회원,간편결제,정상
2025-01-01,O100003,S014,대전둔산점,대전,오프라인,SKU00064,원피스,롱 원피스,KHAKI,S,1,159000,0,159000,159000,C17100,F,20,GOLD,카드,정상
2025-01-01,O100004,S006,분당현대점,경기,오프라인,SKU00013,데님,데님 자켓,WHITE,XL,1,159000,0,159000,159000,C42742,F,30,비회원,카드,정상
2025-01-01,O100005,S008,고양스타필드,경기,오프라인,SKU00043,아우터,트렌치코트,BEIGE,L,1,329000,0,329000,329000,C73653,M,25,VIP,카드,정상
2025-01-01,O100006,S015,제주연동점,제주,오프라인,SKU00015,데님,데님 스커트,BLACK,XL,1,79000,0,79000,79000,C82845,M,25,SILVER,카드,정상
2025-01-01,O100007,S002,명동점,서울,오프라인,SKU00015,데님,데님 스커트,BLACK,XL,1,79000,0,79000,79000,C72493,M,45,비회원,카드,정상
2025-01-01,O100008,S003,홍대점,서울,오프라인,SKU00021,데님,데님 셔츠,GREY,L,1,89000,0,89000,89000,C40828,M,20,SILVER,카드,정상
2025-01-01,O100008,S003,홍대점,서울,오프라인,SKU00067,원피스,롱 원피스,DENIM_BLUE,S,1,159000,0,159000,159000,C40828,M,20,SILVER,카드,정상
2025-01-01,O100009,S013,광주충장로점,광주,오프라인,SKU00118,신발,로퍼,KHAKI,235,1,189000,0,189000,189000,C94607,F,30,일반,카드,정상
2025-01-01,O100010,S005,여의도IFC점,서울,오프라인,SKU00140,액세서리,지갑,KHAKI,FREE,1,99000,0,99000,99000,C19016,F,25,일반,상품권,정상
2025-01-01,O100010,S005,여의도IFC점,서울,오프라인,SKU00136,액세서리,선글라스,RED,FREE,1,119000,20,95000,95000,C19016,F,25,일반,상품권,정상
2025-01-01,O100010,S005,여의도IFC점,서울,오프라인,SKU00027,상의,크롭 티,BEIGE,S,1,39000,0,39000,39000,C19016,F,25,일반,상품권,정상
2025-01-01,O100011,S005,여의도IFC점,서울,오프라인,SKU00130,액세서리,벨트,RED,FREE,1,79000,20,63000,63000,C89276,F,35,SILVER,현금,정상
2025-01-01,O100012,S103,29CM입점,온라인,온라인,SKU00042,아우터,트렌치코트,BROWN,L,1,329000,0,329000,329000,C46265,F,20,일반,현금,정상
2025-01-01,O100013,S004,잠실롯데점,서울,오프라인,SKU00111,가방,클러치,DENIM_BLUE,FREE,1,99000,0,99000,99000,C29536,M,20,GOLD,카드,정상
2025-01-02,O100014,S012,대구동성로점,대구,오프라인,SKU00040,상의,폴로셔츠,BLACK,S,2,69000,20,55000,110000,C42706,F,25,비회원,간편결제,정상
2025-01-02,O100015,S014,대전둔산점,대전,오프라인,SKU00041,아우터,트렌치코트,GREY,XS,1,329000,0,329000,329000,C53540,M,40,SILVER,현금,정상
2025-01-02,O100016,S008,고양스타필드,경기,오프라인,SKU00007,데님,청바지 와이드,KHAKI,S,1,99000,0,99000,99000,C70332,F,25,SILVER,카드,정상
2025-01-02,O100017,S009,인천신세계점,인천,오프라인,SKU00008,데님,청바지 와이드,RED,XS,2,99000,0,99000,198000,C76768,M,35,비회원,간편결제,정상
2025-01-02,O100018,S009,인천신세계점,인천,오프라인,SKU00131,액세서리,벨트,GREY,FREE,1,79000,0,79000,79000,C88193,M,25,GOLD,간편결제,정상
2025-01-02,O100019,S002,명동점,서울,오프라인,SKU00094,가방,크로스백,KHAKI,FREE,1,189000,10,170000,170000,C10221,M,45,비회원,카드,정상
2025-01-02,O100019,S002,명동점,서울,오프라인,SKU00081,하의,미니 스커트,BEIGE,XS,1,69000,0,69000,69000,C10221,M,45,비회원,카드,정상
2025-01-02,O100020,S104,SSF샵입점,온라인,온라인,SKU00098,가방,토트백,BEIGE,FREE,1,229000,0,229000,229000,C62743,F,30,SILVER,간편결제,정상
2025-01-02,O100021,S010,부산서면점,부산,오프라인,SKU00120,신발,부츠,BROWN,265,1,259000,0,259000,259000,C10053,F,25,VIP,간편결제,정상
2025-01-03,O100022,S104,SSF샵입점,온라인,온라인,SKU00058,아우터,바람막이,NAVY,S,1,119000,0,119000,119000,C77561,M,25,SILVER,현금,정상
2025-01-03,O100023,S016,여주아울렛,경기,아울렛,SKU00127,신발,샌들,NAVY,260,1,129000,50,64000,64000,C19545,M,30,SILVER,간편결제,정상
2025-01-03,O100023,S016,여주아울렛,경기,아울렛,SKU00028,상의,크롭 티,BROWN,L,1,39000,60,15000,15000,C19545,M,30,SILVER,간편결제,정상
2025-01-03,O100024,S017,파주아울렛,경기,아울렛,SKU00035,상의,맨투맨,BLACK,L,1,79000,50,39000,39000,C83060,F,45,일반,상품권,정상
2025-01-03,O100025,S015,제주연동점,제주,오프라인,SKU00041,아우터,트렌치코트,GREY,L,1,329000,20,263000,263000,C76162,M,40,비회원,상품권,정상
2025-01-03,O100025,S015,제주연동점,제주,오프라인,SKU00071,원피스,니트 원피스,DENIM_BLUE,XL,1,119000,0,119000,119000,C76162,M,40,비회원,상품권,정상
2025-01-03,O100026,S003,홍대점,서울,오프라인,SKU00036,상의,맨투맨,BROWN,S,1,79000,10,71000,71000,C40735,F,25,비회원,카드,정상
2025-01-03,O100026,S003,홍대점,서울,오프라인,SKU00055,아우터,가디건,KHAKI,XS,1,139000,0,139000,139000,C40735,F,25,비회원,카드,정상
2025-01-03,O100027,S014,대전둔산점,대전,오프라인,SKU00123,신발,샌들,BROWN,230,2,129000,0,129000,258000,C65069,M,45,일반,간편결제,정상
2025-01-03,O100028,S014,대전둔산점,대전,오프라인,SKU00070,원피스,니트 원피스,BROWN,L,1,119000,0,119000,119000,C81582,M,45,비회원,카드,정상
2025-01-03,O100029,S104,SSF샵입점,온라인,온라인,SKU00101,가방,백팩,GREY,FREE,-1,169000,10,152000,-152000,C31632,M,45,비회원,카드,반품
2025-01-03,O100029,S104,SSF샵입점,온라인,온라인,SKU00110,가방,클러치,GREY,FREE,1,99000,0,99000,99000,C31632,M,45,비회원,카드,정상
2025-01-03,O100030,S009,인천신세계점,인천,오프라인,SKU00108,가방,미니백,BROWN,FREE,1,149000,0,149000,149000,C37742,M,25,VIP,현금,정상
2025-01-03,O100031,S018,김해아울렛,부산,아울렛,SKU00064,원피스,롱 원피스,KHAKI,S,1,159000,50,79000,79000,C55870,F,35,일반,카드,정상
